TotElecGen_2015,PolStab_2015,ContCorrup_2015,RegQual_2015,RuleofLaw_2015,GDP2010base_2015,GDPPerCapita_2015,GovEffec_2015
0.013424942862946154,0.035658124979201955,0.04486881296116313,0.17596959242673726,0.010000000000000009,0.033590009969707846,0.01109126399987155,0.17140047466087088
0.03017860235435521,0.7223915166878412,0.2727092306022997,0.4754508024224529,0.33632617967010225,0.02578091364140489,0.04419616908771735,0.4817735758164377
0.17595264014034284,0.38429454448071887,0.22874065004831712,0.13139449751014404,0.18764756643357253,0.17174012182787035,0.046498846011516874,0.36277632698284423
0.27647919596480064,0.6443944646738895,0.2547491876255854,0.19770383117386836,0.21349492355260455,0.2910798376769965,0.14069768444965589,0.46191654580822755
0.03640033690535738,0.5815158934763668,0.2582432701330434,0.4893972302939283,0.3197786328466093,0.023935306098276987,0.04080649534167886,0.4419427666537761
0.3673845418367333,0.8492349581876383,0.8961026664116547,0.8806518167985717,0.933976757042911,0.47661357745068444,0.5622347582475397,0.8435900263472496
0.1637751496182236,0.9099905917721998,0.8003058143156186,0.7831672086229851,0.9423123943155232,0.2758217425792082,0.43883778312003396,0.8237079453697664
0.15881723485303645,0.35560960282097165,0.18576630404580455,0.20083604859707646,0.2189157179967629,0.15091219226412667,0.017664369051586328,0.3109246493667489
0.10777744223305674,0.6668115150655227,0.3107250484569751,0.17692682260279924,0.20180379112832383,0.07572799193578783,0.063781507616851,0.3725636196571921
0.17721110395773965,0.7791138968413558,0.814571168487719,0.7539518634242667,0.8335882572383935,0.3099266261296586,0.407578245487145,0.8142364528291395
0.03873563121182155,0.577713164585766,0.21532702481294694,0.20418365562442664,0.1107378720196347,0.04021846040266763,0.0352013483829471,0.3275990546082571
0.0602469520520561,0.5461818902640998,0.29518404438852214,0.37874854003464176,0.34933214762753967,0.03198403773719016,0.051794398649995695,0.35244373290226316
0.5225748467366,0.562890057805952,0.29450264392853376,0.3795079025893022,0.38660235090533035,0.5897581982192386,0.09188839988812539,0.4365230677398909
0.13923669734599275,0.6449916197386117,0.3293121129911618,0.5708315025232971,0.4004986514394243,0.07043443902169422,0.07464038280330723,0.5279578108261767
0.033020973734065207,0.4079641813302687,0.11549481909035686,0.19627306649328452,0.15655740942694757,0.0488081567185813,0.01843990860292891,0.2976634719682892
0.5505673395676689,0.940973090008157,0.8972824312977251,0.8626878685204743,0.9386525549397199,0.5372781429795045,0.43302454026027654,0.8895776689400485
0.18676458557137143,0.7429440001402503,0.7371239659894475,0.7684885435377363,0.8004476227908291,0.21248298759549133,0.1385894566653024,0.732214640607505
1.0,0.5113767605775527,0.32470181912036833,0.35502827556470956,0.3136884729993968,0.8665572868016336,0.0845591640999816,0.5743256672336106
